PID,Process Name,Writing Time,Creating Time,Using By,Status
4512,ts3client_win64.exe,21/04/2018 16:31:27,21/04/2018 16:31:24,DESKTOP-HB3DSMF,Opened
15172,svchost.exe,21/04/2018 16:31:27,21/04/2018 16:31:24,DESKTOP-HB3DSMF,Opened
11680,SearchUI.exe,21/04/2018 16:31:27,21/04/2018 17:19:57,DESKTOP-HB3DSMF,Opened
11680,SearchUI.exe,21/04/2018 16:31:40,21/04/2018 17:19:57,DESKTOP-HB3DSMF,Closed
4512,ts3client_win64.exe,21/04/2018 16:31:40,21/04/2018 16:31:24,DESKTOP-HB3DSMF,Closed
15996,RuntimeBroker.exe,21/04/2018 16:31:52,21/04/2018 16:31:10,DESKTOP-HB3DSMF,Closed
8016,TeamViewer.exe,21/04/2018 16:31:50,21/04/2018 16:31:47,DESKTOP-HB3DSMF,Opened
17312,tv_w32.exe,21/04/2018 16:31:50,21/04/2018 16:31:47,DESKTOP-HB3DSMF,Opened
10108,tv_x64.exe,21/04/2018 16:31:50,21/04/2018 16:31:47,DESKTOP-HB3DSMF,Opened
15172,svchost.exe,21/04/2018 16:32:28,21/04/2018 16:31:24,DESKTOP-HB3DSMF,Closed
17312,tv_w32.exe,21/04/2018 16:33:15,21/04/2018 16:31:47,DESKTOP-HB3DSMF,Closed
10108,tv_x64.exe,21/04/2018 16:33:15,21/04/2018 16:31:47,DESKTOP-HB3DSMF,Closed
8016,TeamViewer.exe,21/04/2018 16:33:15,21/04/2018 16:31:47,DESKTOP-HB3DSMF,Closed
10744,SearchFilterHost.exe,21/04/2018 16:33:38,21/04/2018 16:30:57,DESKTOP-HB3DSMF,Closed
